State           Win Chance      Roll 2          Roll 3          Roll 4          Roll 5          Roll 6          Roll 7          Roll 8          Roll 9          Roll 10         Roll 11         Roll 12        
000001110110    0.08093         [2]             [3]             None            [5]             [6]             [7]             [3, 5]          [2, 7]          [3, 7]          [5, 6]          [5, 7]         
000001110111    0.11346         [2]             [3]             [1, 3]          [5]             [6]             [7]             [2, 6]          [2, 7]          [3, 7]          [5, 6]          [5, 7]         
000001111000    0.04771         None            None            [4]             [5]             [6]             [7]             None            [4, 5]          [4, 6]          [4, 7]          [5, 7]         
000001111001    0.07557         None            None            [4]             [5]             [6]             [7]             [1, 7]          [4, 5]          [4, 6]          [5, 6]          [5, 7]         
000001111010    0.07284         [2]             None            [4]             [5]             [6]             [7]             [2, 6]          [4, 5]          [4, 6]          [4, 7]          [5, 7]         
000001111011    0.10615         [2]             [1, 2]          [4]             [5]             [6]             [7]             [1, 7]          [2, 7]          [4, 6]          [5, 6]          [5, 7]         
000001111100    0.06972         None            [3]             [4]             [5]             [6]             [7]             [3, 5]          [4, 5]          [4, 6]          [4, 7]          [5, 7]         
000001111101    0.10190         None            [3]             [4]             [5]             [6]             [7]             [1, 7]          [3, 6]          [4, 6]          [4, 7]          [5, 7]         
000001111110    0.09735         [2]             [3]             [4]             [5]             [6]             [7]             [2, 6]          [2, 7]          [3, 7]          [4, 7]          [5, 7]         
000001111111    0.12300         [2]             [3]             [4]             [5]             [6]             [7]             [1, 7]          [2, 7]          [3, 7]          [4, 7]          [5, 7]         
000010000000    0.13889         None            None            None            None            None            None            [8]             None            None            None            None           
000010000001    0.11111         None            None            None            None            None            None            [8]             [1, 8]          None            None            None           
000010000010    0.09105         [2]             None            None            None            None            None            [8]             None            [2, 8]          None            None           
000010000011    0.07716         [2]             [1, 2]          None            None            None            None            [8]             [1, 8]          [2, 8]          [1, 2, 8]       None           
000010000100    0.07099         None            [3]             None            None            None            None            [8]             None            None            [3, 8]          None           
000010000101    0.06327         None            [3]             [1, 3]          None            None            None            [8]             [1, 8]          None            [3, 8]          [1, 3, 8]      
000010000110    0.04450         [2]             [3]             None            [2, 3]          None            None            [8]             None            [2, 8]          [3, 8]          None           
000010000111    0.08912         [2]             [3]             [1, 3]          [2, 3]          [1, 2, 3]       None            [8]             [1, 8]          [2, 8]          [1, 2, 8]       [1, 3, 8]      
000010001000    0.05093         None            None            [4]             None            None            None            [8]             None            None            None            [4, 8]         
000010001001    0.04938         None            None            [4]             [1, 4]          None            None            [8]             [1, 8]          None            None            [4, 8]         
000010001010    0.05594         [2]             None            [4]             None            [2, 4]          None            [8]             None            [2, 8]          None            [4, 8]         
000010001011    0.11600         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [1, 2, 4]       [8]             [1, 8]          [2, 8]          [1, 2, 8]       [4, 8]         
000010001100    0.06250         None            [3]             [4]             None            None            [3, 4]          [8]             None            None            [3, 8]          [4, 8]         
000010001101    0.08443         None            [3]             [4]             [1, 4]          None            [3, 4]          [8]             [1, 8]          None            [3, 8]          [1, 3, 8]      
000010001110    0.10202         [2]             [3]             [4]             [2, 3]          [2, 4]          [3, 4]          [8]             [2, 3, 4]       [2, 8]          [3, 8]          [4, 8]         
000010001111    0.10843         [2]             [3]             [4]             [2, 3]          [2, 4]          [3, 4]          [8]             [1, 8]          [2, 8]          [3, 8]          [4, 8]         
000010010000    0.03086         None            None            None            [5]             None            None            [8]             None            None            None            None           
000010010001    0.06327         None            None            None            [5]             [1, 5]          None            [8]             [1, 8]          None            None            None           
000010010010    0.06739         [2]             None            None            [5]             None            [2, 5]          [8]             None            [2, 8]          None            None           
000010010011    0.10224         [2]             [1, 2]          None            [5]             [1, 5]          [2, 5]          [8]             [1, 8]          [2, 8]          [1, 2, 8]       None           
000010010100    0.03678         None            [3]             None            [5]             None            None            [8]             None            None            [3, 8]          None           
000010010101    0.07073         None            [3]             [1, 3]          [5]             [1, 5]          None            [8]             [1, 8]          None            [3, 8]          [1, 3, 8]      
000010010110    0.06082         [2]             [3]             None            [5]             None            [2, 5]          [8]             None            [2, 8]          [3, 8]          None           
000010010111    0.09867         [2]             [3]             [1, 3]          [5]             [1, 5]          [2, 5]          [8]             [1, 8]          [2, 8]          [3, 8]          [1, 3, 8]      
000010011000    0.04475         None            None            [4]             [5]             None            None            [8]             [4, 5]          None            None            [4, 8]         
000010011001    0.06417         None            None            [4]             [5]             [1, 5]          None            [8]             [1, 8]          [1, 4, 5]       None            [4, 8]         
000010011010    0.07622         [2]             None            [4]             [5]             [2, 4]          [2, 5]          [8]             [4, 5]          [2, 8]          [2, 4, 5]       [4, 8]         
000010011011    0.09585         [2]             [1, 2]          [4]             [5]             [2, 4]          [2, 5]          [8]             [1, 8]          [2, 8]          [1, 2, 8]       [4, 8]         
